Date,Open,High,Low,Close,Adj Close,Volume
2013-12-18,539.000000,549.000000,527.000000,539.500000,530.063843,389740
2013-12-19,546.000000,556.000000,533.000000,533.000000,523.677612,420460
2013-12-20,537.000000,537.500000,522.500000,524.000000,514.835083,238800
2013-12-23,526.500000,529.000000,518.500000,519.000000,509.922424,408410
2013-12-24,519.000000,519.000000,519.000000,519.000000,509.922424,0
2013-12-26,520.000000,521.000000,515.000000,516.500000,507.466187,340400
2013-12-27,517.000000,521.000000,517.000000,518.000000,508.939941,176960
2013-12-30,518.000000,518.000000,518.000000,518.000000,508.939941,0
2013-12-31,518.000000,518.000000,518.000000,518.000000,508.939941,0
2014-01-02,520.000000,528.500000,519.000000,525.500000,516.308777,367200
2014-01-03,521.000000,523.500000,514.000000,520.500000,511.396179,552230
2014-01-06,525.000000,530.000000,519.000000,525.500000,516.308777,399380
2014-01-07,529.500000,529.500000,523.000000,524.000000,514.835083,197230
2014-01-08,524.000000,535.000000,524.000000,530.500000,521.221252,558440
2014-01-09,535.000000,535.000000,525.000000,525.000000,515.817505,246430
2014-01-10,529.000000,529.000000,508.000000,510.000000,501.079865,411520
2014-01-13,511.000000,525.000000,511.000000,525.000000,515.817505,171780
2014-01-14,523.000000,524.500000,519.000000,524.000000,514.835083,327710
2014-01-15,528.000000,531.500000,528.000000,530.500000,521.221252,877940
2014-01-16,534.000000,541.000000,531.500000,538.000000,528.590210,630740
2014-01-17,540.000000,540.000000,530.000000,537.500000,528.098877,462970
2014-01-21,540.000000,541.000000,537.000000,539.000000,529.572693,122660
2014-01-22,540.000000,549.000000,538.000000,545.000000,535.467651,606380
2014-01-23,543.000000,547.500000,530.000000,530.000000,520.730042,365360
2014-01-24,539.000000,544.500000,531.000000,544.000000,534.485229,214540
2014-01-27,530.000000,536.500000,523.000000,534.000000,524.660095,255770
2014-01-28,533.500000,533.500000,520.500000,520.500000,511.396179,401610
2014-01-29,522.000000,531.000000,522.000000,528.000000,518.765076,343850
2014-01-30,520.500000,527.000000,518.000000,524.000000,514.835083,585030
2014-01-31,524.000000,524.000000,524.000000,524.000000,514.835083,0
2014-02-03,524.000000,530.000000,520.500000,527.000000,517.782532,105370
2014-02-04,519.500000,525.000000,515.000000,520.000000,510.904907,249780
2014-02-05,521.000000,525.000000,518.000000,520.500000,511.396179,258920
2014-02-06,521.000000,524.000000,520.000000,521.000000,511.887421,288090
2014-02-07,522.000000,531.000000,522.000000,525.500000,516.308777,631230
2014-02-10,525.500000,537.500000,525.500000,533.000000,523.677612,569110
2014-02-11,533.000000,546.500000,533.000000,543.000000,533.502747,551120
2014-02-12,545.000000,548.500000,538.000000,542.000000,532.520081,184060
2014-02-13,542.000000,545.000000,538.000000,538.500000,529.081482,242670
2014-02-14,538.500000,542.000000,538.500000,540.000000,530.555115,358460
2014-02-18,545.000000,559.000000,545.000000,555.000000,545.292786,890540
2014-02-19,560.000000,582.500000,559.500000,582.500000,572.311707,809460
2014-02-20,582.500000,582.500000,565.500000,580.000000,569.855530,279140
2014-02-21,580.000000,581.000000,566.000000,567.500000,557.574158,297100
2014-02-24,576.000000,578.000000,560.000000,560.000000,550.205383,253480
2014-02-25,559.500000,564.000000,553.500000,560.000000,550.205383,270580
2014-02-26,559.000000,560.000000,549.000000,556.000000,546.275269,499650
2014-02-27,556.000000,567.000000,556.000000,562.500000,552.661560,573150
2014-02-28,563.500000,580.000000,563.500000,575.500000,565.434265,763690
2014-03-03,575.000000,575.000000,564.000000,569.000000,559.047974,197750
